ENTIDAD|NOMBRE ENTIDAD|MUNICIPIO|NOMBRE MUNICIPIO|LOCALIDAD|NOMBRE LOCALIDAD|TIPO
32|ZACATECAS|1|APOZOL|1|APOZOL|URBANO(A)
32|ZACATECAS|1|APOZOL|4|ATARGEA DEL OCOTITO|RURAL
32|ZACATECAS|1|APOZOL|7|EL CAPULINCITO|RURAL
32|ZACATECAS|1|APOZOL|8|CERRO ALTO|RURAL
32|ZACATECAS|1|APOZOL|9|CHIHUILA|RURAL
32|ZACATECAS|1|APOZOL|10|LAS CHIVAS|RURAL
32|ZACATECAS|1|APOZOL|11|COL. BENITO JUAREZ|RURAL
32|ZACATECAS|1|APOZOL|12|LA CUCHILLA|RURAL
32|ZACATECAS|1|APOZOL|13|FRANCISCO I. MADERO|RURAL
32|ZACATECAS|1|APOZOL|16|LA JOYA DE GUAMUCHIL|RURAL
32|ZACATECAS|1|APOZOL|17|LA LAGUNA|RURAL
32|ZACATECAS|1|APOZOL|18|MEDIA LUNA|RURAL
32|ZACATECAS|1|APOZOL|19|EL MEZQUITE|RURAL
32|ZACATECAS|1|APOZOL|20|OJO DE AGUA|RURAL
32|ZACATECAS|1|APOZOL|21|PALMA CUATA|RURAL
32|ZACATECAS|1|APOZOL|22|PEÑA DE TRES COLORES|RURAL
32|ZACATECAS|1|APOZOL|24|PILA HONDA|RURAL
32|ZACATECAS|1|APOZOL|26|LAS PILAS|RURAL
32|ZACATECAS|1|APOZOL|27|PUERTA BLANCA|RURAL
32|ZACATECAS|1|APOZOL|28|LA PURISIMA|RURAL
32|ZACATECAS|1|APOZOL|29|RANCHO EL AYO|RURAL
32|ZACATECAS|1|APOZOL|31|RINCON VERDE|RURAL
32|ZACATECAS|1|APOZOL|34|SAN ISIDRO (LOS LLAMAS)|RURAL
32|ZACATECAS|1|APOZOL|35|SAN MIGUEL ATOTONILCO|RURAL
32|ZACATECAS|1|APOZOL|36|SAN NICOLAS|RURAL
32|ZACATECAS|1|APOZOL|37|SAUZ DE LOS GONZALEZ|RURAL
32|ZACATECAS|1|APOZOL|39|LA TIRICIA|RURAL
32|ZACATECAS|1|APOZOL|40|EL TULE|RURAL
32|ZACATECAS|1|APOZOL|42|YERBABUENA|RURAL
32|ZACATECAS|1|APOZOL|45|POBLADO BENITO JUAREZ (EL RESCOLDO)|RURAL
32|ZACATECAS|1|APOZOL|52|LA BOQUILLA|RURAL
32|ZACATECAS|1|APOZOL|53|MESA DE HUERTA|RURAL
32|ZACATECAS|1|APOZOL|54|LOS CAJONES|RURAL
32|ZACATECAS|1|APOZOL|55|EL LLANO|RURAL
32|ZACATECAS|1|APOZOL|57|SALTO CERRADO|RURAL
32|ZACATECAS|1|APOZOL|65|ACHOQUEN|RURAL
32|ZACATECAS|1|APOZOL|67|ARROYO DEL CARRIZO|RURAL
32|ZACATECAS|1|APOZOL|71|RANCHO VIEJO|RURAL
32|ZACATECAS|1|APOZOL|73|LA ONZA|RURAL
32|ZACATECAS|1|APOZOL|74|SANTA CRUZ|RURAL
32|ZACATECAS|1|APOZOL|79|LA CALERA|RURAL
32|ZACATECAS|1|APOZOL|80|BANCO DE PIEDRA|RURAL
32|ZACATECAS|1|APOZOL|84|MEZA DE SAN MIGUEL|RURAL
32|ZACATECAS|1|APOZOL|90|SAN IGNACIO|RURAL
32|ZACATECAS|1|APOZOL|92|BANCO DE ROQUE|RURAL
32|ZACATECAS|2|APULCO|1|APULCO|URBANO(A)
32|ZACATECAS|2|APULCO|2|AGUA BLANCA|RURAL
32|ZACATECAS|2|APULCO|3|LOS AGUILERA|RURAL
32|ZACATECAS|2|APULCO|4|ARROYO HONDO DE ABAJO|RURAL
32|ZACATECAS|2|APULCO|5|ARROYO HONDO DE ARRIBA|RURAL
32|ZACATECAS|2|APULCO|6|LOS CARRILLOS|RURAL
32|ZACATECAS|2|APULCO|7|CASAS COLORADAS|RURAL
32|ZACATECAS|2|APULCO|8|LA CHAVEÑA|RURAL
32|ZACATECAS|2|APULCO|9|EL CHOCOLATE|RURAL
32|ZACATECAS|2|APULCO|10|EL CONEJO|RURAL
32|ZACATECAS|2|APULCO|12|HUEGOLITA|RURAL
32|ZACATECAS|2|APULCO|13|LO DE CARRERA|RURAL
32|ZACATECAS|2|APULCO|14|LOMA DE LA CRUZ|RURAL
32|ZACATECAS|2|APULCO|15|LOS MIRASOLES|RURAL
32|ZACATECAS|2|APULCO|16|LA PASTORIA|RURAL
32|ZACATECAS|2|APULCO|17|EL PEDREGOZO|RURAL
32|ZACATECAS|2|APULCO|18|EL QUELELE|RURAL
32|ZACATECAS|2|APULCO|19|RANCHO APULCO|RURAL
32|ZACATECAS|2|APULCO|20|RANCHO NUEVO|RURAL
32|ZACATECAS|2|APULCO|21|RANCHO VIEJO|RURAL
32|ZACATECAS|2|APULCO|22|EL SALITRILLO|RURAL
32|ZACATECAS|2|APULCO|23|SANTA TERESA|RURAL
32|ZACATECAS|2|APULCO|24|SOYATAL|RURAL
32|ZACATECAS|2|APULCO|25|TENAYUCA|URBANO(A)
32|ZACATECAS|2|APULCO|26|EL TERRERO|RURAL
32|ZACATECAS|2|APULCO|27|LAS TIJERAS|RURAL
32|ZACATECAS|2|APULCO|28|TINAJAS|RURAL
32|ZACATECAS|2|APULCO|30|CAÑADA DEL TORO|RURAL
32|ZACATECAS|2|APULCO|31|RANCHO DE LOS DIAZ|RURAL
32|ZACATECAS|2|APULCO|32|LAS CALABAZAS|RURAL
32|ZACATECAS|2|APULCO|33|LA ESPERANZA|RURAL
32|ZACATECAS|2|APULCO|34|AGUA TINTA|RURAL
32|ZACATECAS|2|APULCO|35|EL TEZONTE|RURAL
32|ZACATECAS|3|ATOLINGA|1|ATOLINGA|URBANO(A)
32|ZACATECAS|3|ATOLINGA|2|ACATEPULCO|RURAL
32|ZACATECAS|3|ATOLINGA|3|ADOBES|RURAL
32|ZACATECAS|3|ATOLINGA|4|BAJIO DE GONZALEZ|RURAL
32|ZACATECAS|3|ATOLINGA|5|EL CERRITO PELON|RURAL
32|ZACATECAS|3|ATOLINGA|6|LOS CERRITOS|RURAL
32|ZACATECAS|3|ATOLINGA|7|LA CIENEGA|RURAL
32|ZACATECAS|3|ATOLINGA|8|COVARRUBIAS|RURAL
32|ZACATECAS|3|ATOLINGA|9|EL DURAZNO|RURAL
32|ZACATECAS|3|ATOLINGA|10|LA ESTANCIA|RURAL
32|ZACATECAS|3|ATOLINGA|11|JUANTON|RURAL
32|ZACATECAS|3|ATOLINGA|12|LAGUNA GRANDE|RURAL
32|ZACATECAS|3|ATOLINGA|14|LAUREL|RURAL
32|ZACATECAS|3|ATOLINGA|15|NACAXQUILCO|RURAL
32|ZACATECAS|3|ATOLINGA|16|OJO DE AGUA DE BUGARIN|RURAL
32|ZACATECAS|3|ATOLINGA|17|SALISFLOR|RURAL
32|ZACATECAS|3|ATOLINGA|19|TALPA|RURAL
32|ZACATECAS|3|ATOLINGA|21|TERREROS|RURAL
32|ZACATECAS|3|ATOLINGA|22|LOS VELA|RURAL
32|ZACATECAS|3|ATOLINGA|23|VILLA HIDALGO|RURAL
32|ZACATECAS|3|ATOLINGA|24|ZAPACUECA|RURAL
32|ZACATECAS|3|ATOLINGA|27|EL MAGUEY|RURAL
32|ZACATECAS|3|ATOLINGA|28|CHARCUELOS|RURAL
32|ZACATECAS|3|ATOLINGA|30|EL CARGADERO|RURAL
32|ZACATECAS|3|ATOLINGA|32|TAPIAS CHICAS|RURAL
32|ZACATECAS|3|ATOLINGA|33|TAPIAS GRANDES|RURAL
32|ZACATECAS|4|BENITO JUAREZ|1|BENITO JUAREZ|URBANO(A)
32|ZACATECAS|4|BENITO JUAREZ|2|LOS CAMPOS|RURAL
32|ZACATECAS|4|BENITO JUAREZ|3|LAS CRUCES|RURAL
32|ZACATECAS|4|BENITO JUAREZ|4|LAS CUEVAS CHICAS|RURAL
32|ZACATECAS|4|BENITO JUAREZ|5|LAS CUEVAS GRANDES|RURAL
32|ZACATECAS|4|BENITO JUAREZ|7|LA LAGUNA|RURAL
